Modelo,Precision_avg
Random Forest No clustering - GS,0.9344495216690865
XGBoost No clustering - GS,0.9721994164669323
KNN No clustering - GS,0.8894458710636572
AdaBoost No clustering - GS,0.8827718390009682
Gradient Boosting No clustering - GS,0.9654623995943059
Logistic Regression No clustering - GS,0.8855542326830906
Ensemble No clustering - GS,0.9240185692831426
Ensemble 2 No clustering - GS,0.9139011152392063
Random Forest 2k - GS,0.9313573842062273
XGBoost 2k - GS,0.9721994164669323
KNN 2k - GS,0.8894458710636572
AdaBoost 2k - GS,0.8827718390009682
Gradient Boosting 2k - GS,0.9654623995943059
Logistic Regression 2k - GS,0.8747835215687005
Ensemble 2k - GS,0.9259806858939288
Ensemble 2 2k - GS,0.9126996108262835
Random Forest 2k Dist - GS,0.919025786223021
XGBoost 2k Dist - GS,0.9677291015324689
KNN 2k Dist - GS,0.8932622622595205
AdaBoost 2k Dist - GS,0.8841258293382083
Gradient Boosting 2k Dist - GS,0.9607613707102044
Logistic Regression 2k Dist - GS,0.8883033297519631
Ensemble 2k Dist - GS,0.9235615577889448
Ensemble 2 2k Dist - GS,0.9111744298169422
Random Forest 5k - GS,0.9344883258817684
XGBoost 5k - GS,0.9721994164669323
KNN 5k - GS,0.8894458710636572
AdaBoost 5k - GS,0.8827718390009682
Gradient Boosting 5k - GS,0.9654466008398594
Logistic Regression 5k - GS,0.848941038951813
Ensemble 5k - GS,0.9246973032865031
Ensemble 2 5k - GS,0.9161539733513214
Random Forest 5k Dist - GS,0.9115718870721767
XGBoost 5k Dist - GS,0.9686407679413069
KNN 5k Dist - GS,0.8954996159894169
AdaBoost 5k Dist - GS,0.8841258293382083
Gradient Boosting 5k Dist - GS,0.9645897832817338
Logistic Regression 5k Dist - GS,0.9063056034600749
Ensemble 5k Dist - GS,0.9267770078911998
Ensemble 2 5k Dist - GS,0.9120153661677843
