Modelo,Accuracy,Precision,Recall,F1,AUC
Random Forest No Smote,0.9966030152443895,0.9150641025641025,0.7930555555555555,0.8497023809523809,0.9912162226061825
Random Forest Smote,0.9926678942898705,0.6459403905447071,0.8729166666666667,0.7424689899586533,0.9946546739363781
XGBoost No Smote,0.9960985125579127,0.8818466353677621,0.7826388888888889,0.8292862398822664,0.9963021479079366
XGBoost Smote,0.9877069512061818,0.4959138187221397,0.9270833333333334,0.6461761858664086,0.9973684622721182
KNN No Smote,0.9959303449957537,0.8873581847649918,0.7604166666666666,0.818997756170531,0.9467959293588715
KNN Smote,0.9860925426094561,0.4621104815864023,0.90625,0.6121013133208255,0.959378324779341
AdaBoost No Smote,0.9944336536925392,0.8683712121212122,0.6368055555555555,0.7347756410256411,0.9954292647727778
AdaBoost Smote,0.9614307696188482,0.23469903894790087,0.9666666666666667,0.3776963776963777,0.9948265546845521
Gradient Boosting No Smote,0.9957705858117027,0.9127753303964757,0.7194444444444444,0.8046601941747573,0.9973857599907697
Gradient Boosting Smote,0.9727568549302525,0.30426272292301,0.9715277777777778,0.46339847631666115,0.9965956919371174
Logistic Regression No Smote,0.9939123342498466,0.8800424628450106,0.5756944444444444,0.6960537363560033,0.991763897991396
Logistic Regression Smote,0.937315541205257,0.15866530473272047,0.9708333333333333,0.27275387767047116,0.9905277834520678
Ensemble No Smote,0.9962330466076399,0.9224872231686542,0.7520833333333333,0.8286151491966335,0.9977064401300926
Ensemble Smote,0.9869417887983587,0.48,0.9416666666666667,0.635873388042204,0.9974223296081619
Ensemble 2 No Smote,0.9964432560603386,0.9117408906882591,0.7819444444444444,0.8418691588785047,0.9980275162875768
Ensemble 2 Smote,0.9882534957831984,0.5081346954218691,0.9326388888888889,0.6578496203771736,0.9974021858783942
Random Forest 2k,0.9965861984881736,0.9155948553054662,0.7909722222222222,0.8487332339791356,0.9930038101675713
Random Forest 2k Dist,0.9966030152443895,0.9027993779160186,0.80625,0.8517975055025678,0.987384008053709
Random Forest 5k,0.9966450571349292,0.9140811455847255,0.7979166666666667,0.8520578420467185,0.9923364900118308
Random Forest 5k Dist,0.9964180309260147,0.888208269525268,0.8055555555555556,0.8448652585579024,0.9894301688763297
Random Forest 10k,0.9966702822692531,0.910377358490566,0.8041666666666667,0.8539823008849557,0.9917011616217499
Random Forest 10k Dist,0.9964096225479068,0.8911196911196911,0.8013888888888889,0.8438756855575869,0.9856123291920472
XGBoost 2k,0.9960985125579127,0.8818466353677621,0.7826388888888889,0.8292862398822664,0.9963021479079366
XGBoost 2k Dist,0.9964432560603386,0.8908531898539584,0.8048611111111111,0.8456767603064574,0.9931366328857264
XGBoost 5k,0.9961405544484524,0.8859166011014948,0.7819444444444444,0.8306897823681298,0.9962790458633953
XGBoost 5k Dist,0.996367580657367,0.8968503937007875,0.7909722222222222,0.8405904059040591,0.9946304606766969
XGBoost 10k,0.996216229851424,0.8837209302325582,0.7916666666666666,0.8351648351648352,0.9956363261194193
XGBoost 10k Dist,0.9962414549857478,0.8881939014855356,0.7888888888888889,0.8356013240161824,0.9932066069305779
KNN 2k,0.9959303449957537,0.8873581847649918,0.7604166666666666,0.818997756170531,0.9467959293588715
KNN 2k Dist,0.9959051198614299,0.8908941755537325,0.7541666666666667,0.8168484392628808,0.9475077158523587
KNN 5k,0.9959303449957537,0.8873581847649918,0.7604166666666666,0.818997756170531,0.9467959293588715
KNN 5k Dist,0.9959387533738617,0.8899755501222494,0.7583333333333333,0.8188976377952756,0.9478449016740101
KNN 10k,0.9959303449957537,0.8873581847649918,0.7604166666666666,0.818997756170531,0.9467959293588715
KNN 10k Dist,0.9958042193241345,0.8859721082854799,0.75,0.8123354644603235,0.9450571022724586
AdaBoost 2k,0.9944336536925392,0.8683712121212122,0.6368055555555555,0.7347756410256411,0.9954292647727778
AdaBoost 2k Dist,0.9945345542298346,0.8617216117216118,0.6534722222222222,0.7432859399684044,0.9958135176484607
AdaBoost 5k,0.9944336536925392,0.8683712121212122,0.6368055555555555,0.7347756410256411,0.9954292647727778
AdaBoost 5k Dist,0.9938871091155227,0.8478048780487805,0.6034722222222222,0.7050709939148073,0.9956505768625148
AdaBoost 10k,0.9943327531552438,0.8732943469785575,0.6222222222222222,0.7266828872668288,0.9951520431936418
AdaBoost 10k Dist,0.9946018212546982,0.844559585492228,0.6791666666666667,0.7528868360277137,0.9958106332176725
Gradient Boosting 2k,0.9957705858117027,0.9127753303964757,0.7194444444444444,0.8046601941747573,0.997385789544364
Gradient Boosting 2k Dist,0.9961825963389922,0.9067656765676567,0.7631944444444444,0.8288084464555053,0.9975132069101504
Gradient Boosting 5k,0.9957789941898108,0.9106830122591943,0.7222222222222222,0.8055770720371804,0.9974282639698657
Gradient Boosting 5k Dist,0.996207821473316,0.9004048582995952,0.7722222222222223,0.8314018691588785,0.9976401602845089
Gradient Boosting 10k,0.9958798947271061,0.9094827586206896,0.7326388888888888,0.8115384615384615,0.9973346056746685
Gradient Boosting 10k Dist,0.9960901041798047,0.8966639544344996,0.7652777777777777,0.8257774447358561,0.997397545964114
Logistic Regression 2k,0.9939123342498466,0.8816631130063965,0.5743055555555555,0.695542472666106,0.9917633542052636
Logistic Regression 2k Dist,0.9941225437025453,0.8912354804646251,0.5861111111111111,0.7071638039379975,0.9914937604087759
Logistic Regression 5k,0.993845067224983,0.867983367983368,0.5798611111111112,0.6952539550374688,0.991728699660772
Logistic Regression 5k Dist,0.9940468682995737,0.9057649667405765,0.5673611111111111,0.6976942783945346,0.9914951139633876
